Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,4.28,0.01078091,1.776848,-7.851256,27.19671,350.5685,15.25488
Head,4.5,-0.01010187,1.669093,-7.776588,48.15139,342.0009,6.750721
Head,4.72,-0.02012392,1.433676,-7.724114,78.16792,323.9588,346.3768
Head,4.94,-0.02266814,1.245036,-7.721519,78.25714,201.0571,217.6234
Head,5.18,-0.02640446,1.219296,-7.678817,79.3223,222.0385,228.8548
Head,5.4,-0.06799623,1.201042,-7.611259,80.10588,220.4938,233.5802
Head,5.64,-0.1068437,1.191662,-7.55622,86.43119,239.8777,262.721
Head,5.86,-0.1243468,1.184867,-7.536709,89.09129,302.2733,331.3096
Head,6.1,-0.1264964,1.183534,-7.53691,89.67857,332.5606,2.249346
Head,6.32,-0.1299816,1.179744,-7.540706,87.21091,70.48,103.0743
Head,6.56,-0.1405176,1.183701,-7.546315,83.96097,55.89738,89.48628
Head,6.78,-0.1407299,1.195175,-7.5665,86.57361,12.52242,47.14143
Head,7,-0.1112891,1.197325,-7.631274,62.03716,316.4102,344.2712
Head,7.22,-0.06918145,1.189591,-7.717062,53.29011,314.801,351.5052
Head,7.44,-0.02794755,1.174527,-7.788888,25.74576,319.7264,355.1747
Head,7.66,-0.005337613,1.168268,-7.828529,17.65011,321.4623,355.4919
Head,7.9,0.005617119,1.165561,-7.841745,16.50253,323.0153,354.6165
Head,8.12,0.002411278,1.165262,-7.838839,17.27415,323.5858,355.0555
Head,8.36,0.002819171,1.164354,-7.838816,16.91058,323.6488,354.7636
Head,8.58,0.001245698,1.164053,-7.838826,17.20496,323.7172,355.1135
Head,8.82,-0.001652038,1.161483,-7.835382,18.36586,324.0795,355.3678
Head,9.04,-0.002247969,1.161187,-7.834695,18.64957,323.7223,354.9878
Head,9.28,-0.002019513,1.161187,-7.835256,18.21221,323.7183,354.9116
Head,9.5,-0.001532443,1.161391,-7.835569,18.11243,323.7583,354.9
Head,9.74,-0.001029499,1.161567,-7.835268,18.18965,323.7881,354.8367
Head,9.96,-0.0009151734,1.161606,-7.834948,18.25289,323.8046,354.8399
Head,10.2,-0.001136366,1.161769,-7.834992,18.27681,323.8027,354.9163
Head,10.42,-0.001353143,1.161856,-7.834898,18.28204,323.8204,354.9447
Head,10.66,-0.001542304,1.161946,-7.834906,18.30869,323.8083,354.9766
Head,10.88,-0.001497321,1.161975,-7.834942,18.32807,323.8235,354.9648
Head,11.1,-0.001728378,1.162478,-7.834119,19.35256,323.9799,354.9311
Head,11.34,-0.001021964,1.16246,-7.834464,18.7847,323.9218,354.8191
Head,11.56,-0.001306044,1.162419,-7.83456,18.63716,324.0064,354.8903
Head,11.8,7.865578E-05,1.163021,-7.834729,18.5033,324.1411,354.7035
Head,12.02,-0.002667343,1.163553,-7.833375,20.75553,323.8712,354.8539
Head,12.26,-0.01010117,1.202537,-7.795667,58.08609,284.8018,325.1459
Head,12.48,-0.01123164,1.383109,-7.795577,77.74187,320.8937,316.8227
Head,12.72,-0.0003316682,1.514405,-7.768482,75.49948,315.7981,333.5307
Head,12.94,-0.02077927,1.596245,-7.781245,62.62975,335.2835,352.7975
Head,13.16,-0.02516368,1.617849,-7.798098,53.02233,327.6951,353.7573
Head,13.4,-0.03651313,1.628,-7.805687,42.75048,323.7599,351.144
Head,13.62,-0.005552128,1.615867,-7.84272,46.90556,358.3156,351.2397
Head,13.86,0.000615567,1.600321,-7.840572,51.25776,0.07859527,351.8433
Head,14.08,0.00316042,1.599258,-7.840075,51.75534,1.05992,352.5413
Head,14.32,-0.003698166,1.603319,-7.837026,45.95419,359.5564,353.6458
Head,14.54,-0.007624027,1.612939,-7.845191,41.48492,359.1724,353.2823
Head,14.78,-0.01127301,1.64398,-7.849084,38.0825,357.5097,354.1491
Head,15,-0.01490825,1.643523,-7.854325,39.70405,356.4362,353.0322
Head,15.22,-0.01669848,1.644343,-7.853873,36.28198,356.6594,354.0471
Head,15.44,-0.02016534,1.644221,-7.857779,33.14505,356.5374,355.1303
Head,15.68,-0.02212682,1.655987,-7.861623,29.75659,356.1249,356.644
Head,15.9,-0.02107326,1.666992,-7.863062,25.41462,357.3286,358.353
Head,16.14,-0.01361569,1.675616,-7.868716,23.59908,1.507252,0.9005296
Head,16.36,-0.006560522,1.679878,-7.874145,22.93956,4.888573,2.93569
Head,16.6,-0.007277016,1.677804,-7.877985,23.67454,4.355012,2.575292
Head,16.82,-0.007109325,1.695295,-7.860308,42.52024,3.376318,356.71
Head,17.06,-0.01006911,1.625688,-7.770284,66.65794,27.32445,342.6477
Head,17.28,-0.06615715,1.511431,-7.72112,70.87938,57.78309,0.46938
Head,17.52,-0.1769796,1.419016,-7.681993,78.53159,68.71784,9.08054
Head,17.74,-0.2930785,1.375814,-7.620813,78.31676,359.3892,292.9387
Head,17.98,-0.3369803,1.374431,-7.58982,73.72929,10.10682,298.9109
Head,18.2,-0.3202488,1.3728,-7.597488,74.9288,44.06412,331.8094
Head,18.44,-0.2907247,1.375303,-7.607788,76.98019,51.40897,348.3346
Head,18.66,-0.283214,1.372497,-7.614764,75.05108,43.18798,354.5969
Head,18.88,-0.315792,1.366402,-7.614812,73.03057,19.84839,335.6778
Head,19.12,-0.3566286,1.389213,-7.610155,63.60918,28.79125,336.4492
Head,19.34,-0.3733777,1.396779,-7.610008,72.27731,37.93874,340.5038
Head,19.58,-0.3432662,1.379225,-7.612465,78.15697,34.02571,330.6894
Head,19.8,-0.3202895,1.383423,-7.620016,76.06218,41.71863,339.5232
Head,20.04,-0.2931098,1.372904,-7.641134,77.37138,55.77501,1.934261
Head,20.28,-0.2692944,1.383252,-7.651263,80.46159,37.73355,343.8858
Head,20.5,-0.2185151,1.400653,-7.667494,76.14471,8.660863,319.9419
Head,20.72,-0.1292176,1.389953,-7.72037,73.2612,17.30021,334.6806
Head,20.96,-0.03683326,1.324182,-7.796894,76.60316,49.36753,7.240354
Head,21.18,0.0075262,1.25419,-7.839612,75.33817,58.74304,7.85843
Head,21.42,0.01532667,1.193024,-7.852424,78.97031,54.02947,357.466
Head,21.64,0.00423117,1.172148,-7.854845,72.03064,65.04873,7.063311
Head,21.88,-0.00873312,1.173282,-7.860518,66.99606,75.6367,10.85452
Head,22.1,-0.0004663058,1.171831,-7.859315,71.58936,74.9704,10.38338
Head,22.34,0.001221687,1.17167,-7.857763,72.74516,76.68402,11.86881
Head,22.56,0.003941584,1.171326,-7.854883,75.07473,84.30461,18.81877
Head,22.8,0.003455654,1.171587,-7.853197,74.82549,88.89673,23.06555
Head,23.02,0.005217615,1.171208,-7.851877,75.33541,91.80209,25.34147
Head,23.24,0.001658756,1.169537,-7.854195,71.62959,84.70765,17.15167
Head,23.48,0.002275679,1.167418,-7.85438,71.07392,85.60491,15.76276
